id,order,ka,en,ru
cat_0001,10,ცივი კერძები,Cold dishes,Холодные закуски
cat_0002,20,სალათები,Salads,Салаты
cat_0003,30,მაყალი,Barbecues,Барбекю
cat_0004,40,პურეული,Dough Dishes,Блюда из теста
cat_0005,50,ხინკალი,Khinkali,Хинкали
cat_0006,60,სოუსები,Sauces,Соусы
cat_0007,70,წვნიანი კერძები,Soups,Супы
cat_0008,80,ცხელი კერძები,Hot Dishes,Горячие блюда
cat_0009,90,დესერტი,Desserts,Десерты
cat_0010,100,უალკოჰოლო სასმელი,Soft Drinks,Безалкогольные напитки
cat_0011,110,ყავა-ჩაი,Coffee and Tea,Кофе и чай
cat_0012,120,საუზმე,Breakfast,Завтрак
cat_0013,130,ლუდი,Beer,
cat_0014,140,"ბოთლის ღვინო ""შატო მუხრანი""","Bottled wine ""Chateau Mukhrani""","Вино в бутылках ""Шато Мухрани"""
cat_0015,150,ცქრიალა ღვინო,Sparkling wine,Игристое вино
cat_0016,160,ჩამოსასხმელი ღვინო,Draft wine,Разливное вино
cat_0017,170,სახლის არაყი,Homemade vodka,Домашняя водка
cat_0018,180,არაყი,Vodka,Водка
cat_0019,190,კონიაკი,Cognac,Коньяк
cat_0020,200,ვისკი,Whiskey,Виски
cat_0021,210,კოქტეილი,Cocktail,Коктейль
cat_0022,220,ჩილიმი,Hookah,Кальян